timestamp,conductivity_conductivity,conductivity_temperature,conductivity_salinity,conductivity_density,conductivity_soundspeed,pressure_pressure,pressure_temperature,dcps_current_speed,dcps_current_direction,dcps_current_speed_north,dcps_current_speed_east,dcps_current_speed_vertical,dcps_current_speed_std,dcps_signal_strength,dcps_cross_difference
2023-08-31 21:00,35.3444,14.5826,28.4982,1021.05,1497.78,316.356,14.6159,15.4105,47.1765,10.4752,11.3029,-1.28009,29.3033,-14.7636,1.76703
2023-08-31 21:30,35.366,14.8306,28.3367,1020.88,1498.39,317.048,14.854,21.7605,53.7153,12.8779,17.5409,2.12109,28.8633,-11.8901,5.04715
2023-08-31 22:00,35.5233,15.0842,28.2925,1020.79,1499.16,317.416,15.0988,37.4174,28.2742,32.9531,17.7243,2.04234,25.2844,-8.70132,-2.56148
2023-08-31 22:30,35.5182,15.086,28.2866,1020.79,1499.16,316.986,15.1353,6.68981,4.20771,6.67178,0.490847,-0.0324015,24.995,-14.4194,6.94588
2023-08-31 23:00,35.6547,15.1004,28.3968,1020.87,1499.33,316.26,15.1252,30.6711,56.2698,17.0311,25.508,0.0765318,25.9103,-11.2591,-5.37682
2023-08-31 23:30,36.2769,15.1268,28.9277,1021.27,1500.03,315.58,15.1443,20.3074,81.0097,3.17339,20.0579,0.555164,27.6673,-11.7864,-4.06873
2023-09-01 00:00,35.7525,15.0461,28.5227,1020.98,1499.31,314.529,15.0656,5.14608,213.703,-4.28115,-2.8555,0.545831,24.5048,-16.3193,-0.125609
2023-09-01 00:30,36.0598,15.0342,28.8036,1021.19,1499.59,313.196,15.068,3.48021,218.385,-2.72797,-2.16102,1.09075,25.1747,-14.0863,2.79904
2023-09-01 01:00,35.9922,14.9646,28.7948,1021.2,1499.36,311.608,14.9814,15.5436,46.7804,10.6442,11.3271,-0.70513,25.4048,-12.6181,3.87667
2023-09-01 01:30,35.806,15.2244,28.4405,1020.87,1499.78,310.106,15.2482,34.4744,56.8159,18.8689,28.8521,0.778144,25.8881,-10.4349,-2.78071
2023-09-01 02:00,35.7887,15.3537,28.3319,1020.76,1500.07,308.843,15.3661,41.7236,20.6361,39.0466,14.7047,1.2501,25.4245,-9.09428,0.32647
2023-09-01 02:28,35.8014,15.343,28.3507,1020.78,1500.06,307.545,15.363,14.0332,76.4012,3.2995,13.6398,1.25518,24.7734,-11.5381,5.87796
2023-09-01 03:00,35.7111,15.2543,28.3353,1020.79,1499.76,306.164,15.267,39.4308,36.499,31.6971,23.4538,1.55922,24.8661,-9.91551,-0.686906
2023-09-01 03:30,35.5798,15.1068,28.326,1020.81,1499.27,305.14,15.1412,1.88874,169.009,-1.85409,0.360085,-1.06618,22.7599,-15.1637,0.514826
2023-09-01 04:00,35.506,14.9751,28.356,1020.86,1498.88,304.552,14.9906,8.30364,22.8097,7.65428,3.21908,1.03238,27.6578,-15.1855,6.32123
2023-09-01 04:30,35.4977,15.033,28.3068,1020.81,1499.01,304.563,15.066,1.06949,169.988,-1.0532,0.185944,0.108527,25.5602,-4.97962,3.07625
2023-09-01 05:00,35.3896,15.0543,28.1959,1020.72,1498.95,305.166,15.0818,8.04902,15.1662,7.76868,2.10578,1.29159,24.4584,-10.654,5.20642
2023-09-01 05:30,35.2325,14.952,28.1305,1020.69,1498.55,305.884,14.9755,4.36798,303.526,2.41248,-3.64132,0.0236983,29.6128,-8.97311,0.185853
2023-09-01 06:00,35.2328,14.8147,28.2298,1020.8,1498.22,306.855,14.8166,11.8588,46.1196,8.21998,8.54766,4.88441,29.8451,-9.11947,8.58137
2023-09-01 06:30,35.159,14.7855,28.1854,1020.77,1498.07,308.086,14.8278,44.0493,154.076,-39.6167,19.2576,1.67144,30.7373,-9.21721,-0.111956
2023-09-01 07:00,35.2185,14.6564,28.3318,1020.91,1497.82,309.382,14.6506,45.4357,142.134,-27.9626,5.03313,-7.18535,42.3827,-3.54948,20.4735
2023-09-01 07:30,35.1352,14.6213,28.283,1020.88,1497.65,310.747,14.6302,23.5249,152.877,-20.9378,10.7252,-4.19818,33.2211,-6.65213,-9.86
2023-09-01 08:00,35.0003,14.4149,28.3127,1020.94,1497.01,311.979,14.4331,67.0457,147.446,-37.3929,16.6121,-3.47038,40.2698,-5.39746,23.1058
2023-09-01 08:30,36.4578,14.3647,29.6623,1021.99,1498.42,313.334,14.3715,62.6156,153.642,-56.1061,27.7996,1.51489,30.38,-4.2773,0.729776
2023-09-01 09:00,35.5497,14.2901,28.899,1021.42,1497.29,314.523,14.2968,75.1173,161.103,-71.0688,24.3279,-1.12642,29.3756,-2.64582,2.11231
2023-09-01 09:30,35.1644,14.3584,28.5015,1021.1,1497.05,315.523,14.36,60.1014,169.731,-66.4225,23.2617,4.90723,47.9631,-2.75094,-12.2979
2023-09-01 10:00,35.0691,14.5183,28.299,1020.91,1497.33,316.522,14.5275,45.0634,183.005,-45.0015,-2.36258,-0.701112,32.5591,-3.26707,6.9593
2023-09-01 10:30,35.1178,14.6042,28.2801,1020.88,1497.59,316.942,14.6138,27.8552,208.737,-47.0396,10.9773,4.69834,43.7714,-3.17176,-28.2514
2023-09-01 11:00,35.1005,14.7438,28.1634,1020.76,1497.91,316.735,14.7579,88.9445,161.273,-84.2359,28.5559,-1.79839,31.7761,-2.727,0.0406207
2023-09-01 11:30,35.196,14.8452,28.1751,1020.75,1498.25,316.306,14.8777,73.0128,160.593,-68.8646,24.2598,1.66719,36.6988,-2.53398,-8.6921
2023-09-01 12:00,35.2041,15.0307,28.0489,1020.61,1498.71,315.723,15.0451,71.7536,162.547,-68.4503,21.5207,-0.935246,33.8474,-2.91008,-2.03533
2023-09-01 12:30,35.1552,14.7642,28.1974,1020.78,1498.02,314.78,14.8394,83.2699,162.078,-79.2294,25.6239,0.800324,35.1219,-2.68628,1.51153
2023-09-01 13:00,35.0582,14.6788,28.1727,1020.78,1497.71,313.361,14.6945,80.2936,162.515,-76.5836,24.125,0.459769,35.527,-2.82701,-0.239647
2023-09-01 13:30,34.9375,14.6779,28.0659,1020.7,1497.58,312.045,14.6926,85.7711,163.155,-82.0907,24.8557,-1.94207,35.5111,-2.87782,1.97659
2023-09-01 14:00,35.0349,14.8499,28.0288,1020.64,1498.1,310.633,14.8754,79.3294,164.9,-76.5904,20.6656,1.17942,45.1824,-2.84588,-7.12538
2023-09-01 14:30,35.0602,15.0037,27.9412,1020.54,1498.49,309.308,14.9991,83.587,172.079,-82.7895,11.5195,0.00227373,36.8902,-2.95917,8.76585
2023-09-01 15:00,35.2525,15.0725,28.0617,1020.62,1498.86,308.023,15.0897,77.982,165.019,-75.3316,20.1577,1.16646,42.0441,-2.6715,5.03798
2023-09-01 15:30,34.9762,15.0812,27.8118,1020.42,1498.59,306.727,15.0844,80.9458,165.204,-78.2617,20.6718,-0.649483,33.94,-3.01833,6.45449
2023-09-01 16:00,34.9448,14.8556,27.9448,1020.57,1498.02,305.854,14.9111,78.0991,156.097,-71.4009,31.6446,2.74546,36.9217,-2.60639,-3.31758
